種類,,icon,名前,継承元,URL,使いそう度,使いそう度,❓よく知らない,一言で,概要、こういうときに使う,翻訳から編集したかどうか,en,概要ja,2D　のゲームで使うかも,3D　のゲームで使うかも,VR,UI,Data,Image,Audio,Physic,Anim,Shader,Editor,Base
Resource,,Object,AnimationNode,Resource                < RefCounted < Object,📑,⭐⭐,2,,,[アニメーションツリー]ノードのベースリソース。,,Base resource for [AnimationTree] nodes.,[アニメーションツリー]ノードのベースリソース。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeAdd2,AnimationNodeSync                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]の内側に2つのアニメーションを追加します。,,Blends two animations additively inside of an [AnimationNodeBlendTree].,[AnimationNodeBlendTree]の内側に2つのアニメーションを追加します。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeAdd3,AnimationNodeSync                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]の内側に3つのアニメーションのうち2つを追加します。,,Blends two of three animations additively inside of an [AnimationNodeBlendTree].,[AnimationNodeBlendTree]の内側に3つのアニメーションのうち2つを追加します。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeAnimation,AnimationRootNode                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]で使用するアニメーションを入力します。,,Input animation to use in an [AnimationNodeBlendTree].,[AnimationNodeBlendTree]で使用するアニメーションを入力します。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeBlend2,AnimationNodeSync                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]の内側に2つのアニメーションを直線的にブレンドします。,,Blends two animations linearly inside of an [AnimationNodeBlendTree].,[AnimationNodeBlendTree]の内側に2つのアニメーションを直線的にブレンドします。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeBlend3,AnimationNodeSync                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]の内側に直線的に3つのアニメーションのうち2つをブレンドします。,,Blends two of three animations linearly inside of an [AnimationNodeBlendTree].,[AnimationNodeBlendTree]の内側に直線的に3つのアニメーションのうち2つをブレンドします。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeBlendSpace1D,AnimationRootNode                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,仮想軸に配置された任意のタイプの任意の数の[AnimationNode]の2つの間に直線的にブレンドします。,,Blends linearly between two of any number of [AnimationNode] of any type placed on a virtual axis.,仮想軸に配置された任意のタイプの任意の数の[AnimationNode]の2つの間に直線的にブレンドします。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeBlendSpace2D,AnimationRootNode                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,2Dスペースに配置された任意のタイプの3つの[AnimationNode]の間に直線的にブレンドします。,,Blends linearly between three [AnimationNode] of any type placed in a 2D space.,2Dスペースに配置された任意のタイプの3つの[AnimationNode]の間に直線的にブレンドします。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeBlendTree,AnimationRootNode                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[アニメーションツリー]多くのブレンドタイプノードを含むノードリソース。,,[AnimationTree] node resource that contains many blend type nodes.,[アニメーションツリー]多くのブレンドタイプノードを含むノードリソース。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeOneShot,AnimationNodeSync                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]で一度アニメーションを再生します。,,Plays an animation once in [AnimationNodeBlendTree].,[AnimationNodeBlendTree]で一度アニメーションを再生します。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeOutput,AnimationNode                < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNodeBlendTree]に追加される一般的な出力ノード。,,Generic output node to be added to [AnimationNodeBlendTree].,[AnimationNodeBlendTree]に追加される一般的な出力ノード。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeStateMachine,AnimationRootNode                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,アニメーションを制御するための状態マシン。,,State machine for control of animations.,アニメーションを制御するための状態マシン。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeStateMachinePlayback,Resource                < RefCounted < Object,📑,⭐,1,,,[AnimationNodestateMachine]の再生コントロール。,,Playback control for [AnimationNodeStateMachine].,[AnimationNodestateMachine]の再生コントロール。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeStateMachineTransition,Resource                < RefCounted < Object,📑,⭐,1,,,各ノードを接続して[AnimationNodestateMachine]のパスを作成するリソース。,,A resource to connect each node to make a path for [AnimationNodeStateMachine].,各ノードを接続して[AnimationNodestateMachine]のパスを作成するリソース。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeSync,AnimationNode                < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNode]のベースクラスには、3つ以上の入力ポートがあり、それらを同期する必要があります。,,The base class for [AnimationNode] which has more than two input ports and needs to synchronize them.,[AnimationNode]のベースクラスには、3つ以上の入力ポートがあり、それらを同期する必要があります。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeTimeScale,AnimationNode                < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationTree]で使用されるタイムスケーリングアニメーションノード。,,A time-scaling animation node to be used with [AnimationTree].,[AnimationTree]で使用されるタイムスケーリングアニメーションノード。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeTimeSeek,AnimationNode                < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationTree]で使用される時間を求めるアニメーションノード。,,A time-seeking animation node to be used with [AnimationTree].,[AnimationTree]で使用される時間を求めるアニメーションノード。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationNodeTransition,AnimationNodeSync                < AnimationNode < Resource < RefCounted < Object,📑,⭐,1,,,[アニメーションツリー]の一般的なアニメーション遷移ノード。,,A generic animation transition node for [AnimationTree].,[アニメーションツリー]の一般的なアニメーション遷移ノード。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Node,,AnimationPlayer,AnimationPlayer,Node                < Object,📑,⭐⭐⭐⭐⭐,5,,アニメ再生,[Animation]リソースを再生する。エディタ下メニューにAnimationタブが表示される。,済,Player of [Animation] resources.,[アニメーション]リソースのプレイヤー。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Resource,,Object,AnimationRootNode,AnimationNode                < Resource < RefCounted < Object,📑,⭐,1,,,[AnimationNode]は[AnimationTree]のルートとして設定できます。,,The [AnimationNode] which can be set as the root of an [AnimationTree].,[AnimationNode]は[AnimationTree]のルートとして設定できます。,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
OtherObject,,Object,AnimationTrackEditPlugin,RefCounted                < Object,📑,⭐,1,❓,, - ,,-, - ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Node,,AnimationTree,AnimationTree,Node                < Object,📑,⭐⭐⭐⭐,4,,アニメツリー,[AnimationPlayer]の高度なアニメーション遷移のためのノード。,済,A node to be used for advanced animation transitions in an [AnimationPlayer].,[AnimationPlayer]の高度なアニメーション遷移に使用されるノード。,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Node2D,,Area2D,Area2D,CollisionObject2D                < Node2D < CanvasItem < Node < Object,📑,⭐⭐⭐⭐⭐,5,,検出エリア,他物理ボディやマウス検出が可能な2Dエリア。範囲内の物理環境操作や音声操作も。,済,2D area for detection、 as well as physics and audio influence.,検出のための2Dエリア、および物理学と音声の影響。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Node3D,,Area3D,Area3D,CollisionObject3D                < Node3D < Node < Object,📑,⭐⭐⭐⭐⭐,5,,検出エリア,他物理ボディが可能な3Dエリア。範囲内の物理環境操作や音声操作も。,済,3D area for detection、 as well as physics and audio influence.,検出のための3Dエリア、および物理学と音声の影響。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Type,,Array,Array,なし,📑,⭐⭐⭐⭐⭐,5,,配列,配列データ型。追加・削除・ソートなどいろいろ。Godot4から型指定、map、filterなど,済,A generic array datatype.,一般的な配列データ型。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,ArrayMesh,ArrayMesh,Mesh                < Resource < RefCounted < Object,📑,⭐⭐⭐⭐,4,,,[メッシュ]アレイから表面を構築するためのユーティリティを提供するタイプ。,,[Mesh] type that provides utility for constructing a surface from arrays.,[メッシュ]アレイから表面を構築するためのユーティリティを提供するタイプ。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,ArrayOccluder3D,ArrayOccluder3D,Occluder3D                < Resource < RefCounted < Object,📑,⭐⭐⭐,3,,,[OccluderInstance3d]で閉塞する閉塞で使用するための3Dポリゴン形状。,,3D polygon shape for use with occlusion culling in [OccluderInstance3D].,[OccluderInstance3d]で閉塞する閉塞で使用するための3Dポリゴン形状。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Control,,AspectRatioContainer,AspectRatioContainer,Container                < Control < CanvasItem < Node < Object,📑,⭐⭐,2,,アス比固定コンテナ,子ノードの[Control]のアスペクト比を保持する[Container]。,済,Container that preserves its child controls' aspect ratio.,子のコントロールのアスペクト比を保持するコンテナ。,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,AStar2D,RefCounted                < Object,📑,⭐⭐⭐⭐,4,,,2Dベクトルをエッジとして使用するAstarクラス表現。,,AStar class representation that uses 2D vectors as edges.,2Dベクトルをエッジとして使用するAstarクラス表現。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,AStar3D,RefCounted                < Object,📑,⭐⭐⭐⭐,4,,,空間内の接続されたポイント間の最短パスを見つけるための*の実​​装。,,An implementation of A* to find the shortest paths among connected points in space.,空間内の接続されたポイント間の最短パスを見つけるための*の実​​装。,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,AStarGrid2D,RefCounted                < Object,📑,⭐⭐⭐⭐,4,,,A*（または「A-STAR」）パスファンディングは、2Dグリッドで最も短いパスを見つけるように調整されています。,,"A* (or ""A-Star"") pathfinding tailored to find the shortest paths on 2D grids.",A*（または「A-STAR」）パスファンディングは、2Dグリッドで最も短いパスを見つけるように調整されています。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,AtlasTexture,AtlasTexture,Texture2D                < Texture < Resource < RefCounted < Object,📑,⭐⭐⭐⭐,4,,,別のTexture2dの一部をトリミングするテクスチャ。,,A texture that crops out part of another Texture2D.,別のTexture2dの一部をトリミングするテクスチャ。,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,AudioBusLayout,AudioBusLayout,Resource                < RefCounted < Object,📑,⭐⭐⭐⭐⭐,5,,,オーディオバスに関する情報を保存します。,,Stores information about the audio buses.,オーディオバスに関する情報を保存します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffect,Resource                < RefCounted < Object,📑,⭐⭐⭐,3,,,オーディオのオーディオ効果。,,Audio effect for audio.,オーディオのオーディオ効果。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectAmplify,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスに増幅オーディオ効果を追加します。,,Adds an amplifying audio effect to an audio bus.,オーディオバスに増幅オーディオ効果を追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectBandLimitFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,バンドリミットフィルターをオーディオバスに追加します。,,Adds a band limit filter to the audio bus.,バンドリミットフィルターをオーディオバスに追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectBandPassFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,バンドパスフィルターをオーディオバスに追加します。,,Adds a band pass filter to the audio bus.,バンドパスフィルターをオーディオバスに追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectCapture,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスからリアルタイムでオーディオをキャプチャします。,,Captures audio from an audio bus in real-time.,オーディオバスからリアルタイムでオーディオをキャプチャします。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectChorus,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,コーラスオーディオ効果を追加します。,,Adds a chorus audio effect.,コーラスオーディオ効果を追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectCompressor,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,コンプレッサーオーディオ効果をオーディオバスに追加します。,,Adds a compressor audio effect to an audio bus.,コンプレッサーオーディオ効果をオーディオバスに追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectDelay,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスに遅延オーディオ効果を追加します。一定期間後に入力信号を再生します。,,Adds a delay audio effect to an audio bus. Plays input signal back after a period of time.,オーディオバスに遅延オーディオ効果を追加します。一定期間後に入力信号を再生します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectDistortion,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスに歪みオーディオ効果を追加します。,,Adds a distortion audio effect to an Audio bus.,オーディオバスに歪みオーディオ効果を追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectEQ,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオイコライザー用のベースクラス。周波数を制御できます。,,Base class for audio equalizers. Gives you control over frequencies.,オーディオイコライザー用のベースクラス。周波数を制御できます。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectEQ10,AudioEffectEQ                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,10バンドのイコライザーオーディオ効果をオーディオバスに追加します。 31 Hzから16000 Hzまでの周波数を制御できます。,,Adds a 10-band equalizer audio effect to an Audio bus. Gives you control over frequencies from 31 Hz to 16000 Hz.,10バンドのイコライザーオーディオ効果をオーディオバスに追加します。 31 Hzから16000 Hzまでの周波数を制御できます。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectEQ21,AudioEffectEQ                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,21バンドのイコライザーオーディオ効果をオーディオバスに追加します。 22 Hzから22000 Hzまでの周波数を制御できます。,,Adds a 21-band equalizer audio effect to an Audio bus. Gives you control over frequencies from 22 Hz to 22000 Hz.,21バンドのイコライザーオーディオ効果をオーディオバスに追加します。 22 Hzから22000 Hzまでの周波数を制御できます。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectEQ6,AudioEffectEQ                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,6バンドのイコライザーオーディオ効果をオーディオバスに追加します。 32 Hzから10000 Hzの周波数を制御できます。,,Adds a 6-band equalizer audio effect to an audio bus. Gives you control over frequencies from 32 Hz to 10000 Hz.,6バンドのイコライザーオーディオ効果をオーディオバスに追加します。 32 Hzから10000 Hzの周波数を制御できます。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectFilter,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスにフィルターを追加します。,,Adds a filter to the audio bus.,オーディオバスにフィルターを追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectHighPassFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスにハイパスフィルターを追加します。,,Adds a high-pass filter to the audio bus.,オーディオバスにハイパスフィルターを追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectHighShelfFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスにハイシェルフフィルターを追加します。,,Adds a high-shelf filter to the audio bus.,オーディオバスにハイシェルフフィルターを追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
OtherObject,,Object,AudioEffectInstance,RefCounted                < Object,📑,⭐,1,❓,, - ,,-, - ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectLimiter,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,ソフトクリップリミッターオーディオ効果をオーディオバスに追加します。,,Adds a soft-clip limiter audio effect to an Audio bus.,ソフトクリップリミッターオーディオ効果をオーディオバスに追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectLowPassFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスにローパスフィルターを追加します。,,Adds a low-pass filter to the audio bus.,オーディオバスにローパスフィルターを追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectLowShelfFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスに低棚フィルターを追加します。,,Adds a low-shelf filter to the audio bus.,オーディオバスに低棚フィルターを追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectNotchFilter,AudioEffectFilter                < AudioEffect < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスにノッチフィルターを追加します。,,Adds a notch filter to the Audio bus.,オーディオバスにノッチフィルターを追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectPanner,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,パンナーオーディオ効果をオーディオバスに追加します。パンは左または右に響きます。,,Adds a panner audio effect to an audio bus. Pans sound left or right.,パンナーオーディオ効果をオーディオバスに追加します。パンは左または右に響きます。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectPhaser,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,フェイザーオーディオ効果をオーディオバスに追加します。,,Adds a phaser audio effect to an audio bus.,フェイザーオーディオ効果をオーディオバスに追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectPitchShift,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,ピッチシフトオーディオ効果をオーディオバスに追加します。,,Adds a pitch-shifting audio effect to an audio bus.,ピッチシフトオーディオ効果をオーディオバスに追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectRecord,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスからの音の録音に使用されるオーディオ効果。,,Audio effect used for recording the sound from an audio bus.,オーディオバスからの音の録音に使用されるオーディオ効果。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Resource,,Object,AudioEffectReverb,AudioEffect                < Resource < RefCounted < Object,📑,⭐,1,,,オーディオバスに残響オーディオ効果を追加します。,,Adds a reverberation audio effect to an Audio bus.,オーディオバスに残響オーディオ効果を追加します。,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
